date, pm25, pm10, o3, no2, so2, co
2023/11/4, 155, 71, , 75, 17, 49
2023/11/5, 164, 71, , 80, 18, 49
2023/11/6, 163, 73, , 98, 22, 66
2023/11/7, 146, 82, , 97, 24, 51
2023/11/8, 157, 68, , 57, 22, 53
2023/11/9, 143, 73, , 92, 23, 55
2023/11/10, 144, 75, , 99, 21, 47
2023/11/11, 153, 70, , 89, 37, 54
2023/11/12, 129, 79, , 102, 63, 76
2023/11/13, 153, 104, , 98, 62, 78
2023/11/14, 171, 107, , 105, 48, 96
2023/11/15, 169, 101, , 104, 23, 52
2023/11/16, 161, 80, , 86, 20, 53
2023/11/17, 140, 65, , 66, 20, 37
2023/11/18, 100, 79, , 88, 29, 78
2023/11/19, 144, 63, , 84, 34, 37
2023/11/20, 104, 51, , 60, 16, 32
2023/11/21, 73, 33, , 50, 14, 30
2023/11/22, 55, 69, , 98, 19, 67
2023/11/23, 133, 81, , 89, 29, 56
2023/11/24, 158, 92, , 104, 53, 73
2023/11/25, 164, 107, , 106, 72, 75
2023/11/26, 170, 112, , 107, 63, 81
2023/11/27, 170, 86, , 99, 21, 61
2023/11/28, 145, 64, , 72, 19, 40
2023/11/29, 120, 71, , 93, 29, 71
2023/11/30, 152, 87, , 102, 32, 78
2023/12/1, 164, 101, , 100, 23, 76
2023/12/2, 177, 106, , 108, 44, 69
2023/12/3, 167, 114, , 109, 63, 83
2023/12/4, 171, 121, , 115, 66, 94
2023/12/5, 177, 110, , 111, 46, 65
2023/12/6, 173, 108, , 105, 24, 57
2023/12/7, 180, 83, , 88, 27, 43
2023/12/8, 155, 72, , 83, 23, 47
2023/12/9, 91, 88, , 101, 23, 71
2023/12/10, 155, 84, , 100, 34, 56
2023/12/11, 139, 83, , 93, 27, 45
2023/12/12, 141, 70, , 86, 26, 44
2023/12/13, 136, 68, , 66, 26, 40
2023/12/14, 124, , , , , 
2023/12/16, 121, 80, , 102, 56, 68
2023/12/17, 157, 85, , 87, 68, 42
2023/12/18, 161, 88, , 75, 53, 47
2023/12/19, 157, 69, , 73, 25, 43
2023/12/20, 155, 72, , 84, 33, 52
2023/12/21, 157, 76, , 89, 44, 52
2023/12/22, 159, 80, , 82, 35, 40
2023/12/23, 159, 85, , 91, 14, 42
2023/12/24, 143, 53, , 79, 24, 29
2023/12/25, 80, 47, , 56, 29, 31
2023/12/26, 61, 71, , 86, 62, 56
2023/12/27, 113, 76, , 100, 61, 58
2023/12/28, 141, 68, , 85, 61, 43
2023/12/29, 131, 57, , 70, 24, 49
2023/12/30, 116, 65, , 77, 25, 43
2023/12/31, 133, 80, , 87, 44, 46
2023/7/1, 114, 85, 59, 90, 11, 31
2023/7/2, 124, 80, 64, 101, 15, 46
2023/7/3, 154, 91, 50, 86, 17, 54
2023/7/4, 155, 83, , 82, 21, 35
2023/7/5, 151, 82, , 59, 19, 29
2023/7/6, 148, 74, , 62, 25, 34
2023/7/7, 123, 60, , 64, 22, 32
2023/7/8, 110, 60, , 63, 20, 32
2023/7/9, 102, 61, , 77, 33, 40
2023/7/10, 120, 73, 63, 93, 16, 65
2023/7/11, 149, 88, 67, 102, 34, 46
2023/7/12, 153, 98, 67, 69, 33, 22
2023/7/13, 159, 93, , 67, 20, 33
2023/7/14, 160, 86, , 70, 24, 22
2023/7/15, 157, 98, 66, 73, 17, 32
2023/7/16, 160, 123, 80, 77, 13, 21
2023/7/17, 164, 155, 80, 53, 20, 28
2023/7/18, 172, 125, 71, 76, 19, 32
2023/7/19, 162, 124, 57, 73, 20, 55
2023/7/20, 170, 102, 55, 58, 20, 30
2023/7/21, 165, 79, , 64, 17, 32
2023/7/22, 158, 76, , 90, 14, 42
2023/7/23, 165, 72, , 63, 21, 36
2023/7/24, 158, 73, , 62, 24, 38
2023/7/25, 163, , , , , 
2023/7/27, 102, 73, 77, 107, 23, 60
2023/7/28, 88, 69, 53, 94, 24, 44
2023/7/29, 96, 65, 53, 99, 27, 33
2023/7/30, 90, 64, , 73, 48, 34
2023/7/31, 83, 72, , 77, 19, 33
2023/8/1, 86, 62, , 79, 19, 49
2023/8/2, 83, 67, , 65, 17, 27
2023/8/3, 81, 69, , 60, 17, 39
2023/8/4, 84, 70, , 80, 17, 42
2023/8/5, 88, 74, , 84, 20, 36
2023/8/6, 109, 65, , 68, 25, 14
2023/8/7, 79, 69, , 66, 26, 32
2023/8/8, 82, 62, 77, 81, 30, 35
2023/8/9, 80, 61, 77, 97, 30, 44
