date, pm25, pm10, o3, no2, so2, co
2022/5/12, 113, 83, , 66, 21, 
2022/5/13, 86, 54, , , 21, 
2022/5/14, 73, 46, 66, , 17, 
2022/5/15, 81, 42, 66, , 21, 
2022/5/16, 120, 57, 55, , 28, 
2022/5/17, 179, 178, , 67, 14, 
2022/5/18, 164, 123, , 60, 18, 
2022/5/19, 132, 82, 50, 62, 19, 
2022/5/20, 95, 61, 50, 66, 18, 
2022/5/21, 122, 87, 60, 70, 27, 
2022/5/22, 115, 95, 60, 54, 21, 
2022/5/23, 130, 90, 58, 95, 17, 
2022/5/24, 156, 199, , 70, 16, 
2022/5/25, 212, 439, , 51, 15, 
